date,origin,destination,block_hours,flight
2025-03-03,DOH,CKG,11:59,880
2025-03-06,CKG,DOH,03:49,881
2025-03-10,DOH,CPT,08:39,1369
2025-03-11,CPT,DOH,10:21,1370
2025-03-14,DOH,ATL,08:09,755
2025-03-15,ATL,DOH,20:24,756
2025-03-22,DOH,JED,02:40,1184
2025-03-22,JED,DOH,01:30,1185
2025-03-23,DOH,AUH,02:10,1040
2025-03-23,AUH,DOH,01:30,1041
2025-03-24,DOH,CMB,07:25,654
2025-03-25,CMB,DOH,02:35,655
2025-03-28,DOH,DAC,07:55,638
2025-03-30,DAC,DOH,02:25,641
2025-03-31,DOH,MED,02:25,1178
2025-03-31,MED,DOH,01:30,1179
